Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",49155,24.80,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Rail Travel UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49155,10.20,Legal Services Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49155,10.34,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49155,15.00,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49156,306.55,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Motor Vehicle Hire,Legal Services - Legal Services,"Personal Expense, Name Witheld",49156,45.19,Legal Services Admin-Motor Vehicle Hire,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",49156,3.20,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",49156,9.10,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Postage,Legal Services - Legal Services,"Personal Expense, Name Witheld",49156,3.65,Legal Services Admin-Postage,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Hotel & Accommodation UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49157,475.12,BLG Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49157,6.91,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49157,11.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49157,5.78,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49157,36.66,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Taxi Services UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49157,18.41,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",49158,289.35,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",49158,10.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",49158,46.70,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",49158,4.88,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49159,4.40,Default-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49159,16.04,Default-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Rail Travel UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49159,17.80,Default-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49159,54.40,Default-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49159,62.00,Default-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Rail Travel UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49160,153.40,Other Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49160,3.90,Other Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",49160,7.60,Other Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Knowledge & Innovation Group - DG/Finance & Corporate Planning,"Personal Expense, Name Witheld",49161,2.10,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Knowledge & Innovation Group - DG/Finance & Corporate Planning,"Personal Expense, Name Witheld",49161,5.00,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Rail Travel UK,Knowledge & Innovation Group - DG/Finance & Corporate Planning,"Personal Expense, Name Witheld",49161,6.40,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Hotel & Accommodation UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49162,75.00,Legal Services Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49162,235.80,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",49162,3.90,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",49162,5.00,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Postage,Legal Services - Legal Services,"Personal Expense, Name Witheld",49162,1.24,Legal Services Admin-Postage,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49162,19.70,Legal Services Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Mileage Allowance UK,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",49163,66.60,K&I Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",49163,3.63,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Rail Travel UK,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",49163,4.10,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Taxi Services UK,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",49163,116.73,K&I Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",49164,5.00,F&C Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",49165,18.00,F&C Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence Overseas,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",49165,45.08,F&C Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence Overseas,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",49165,48.00,F&C Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence Overseas,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",49165,60.00,F&C Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence Overseas,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",49165,98.32,F&C Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Taxi Services Overseas,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",49165,16.00,F&C Devolved Admin-Taxi Services Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Rail Travel UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",49166,6.70,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",49166,14.95,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Taxi Services UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",49166,12.00,K&I Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",49167,13.20,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",49167,31.20,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",49168,8.80,BRDO: Innovating for Growth-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",49168,13.99,BRDO: Innovating for Growth-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",49169,182.70,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",49169,4.65,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Legal Services - Legal Services,"Personal Expense, Name Witheld",49169,15.80,Legal Services Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Rail Travel Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",49170,10.77,BLG Devolved Admin-Rail Travel Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",49170,20.35,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",49170,30.00,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",49170,52.48,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Current Grants To Private Sector - NPISH,Economics & Markets - Consumer and Competition Policy,TRADING STANDARDS INSTITUTE (TSI),49185,2366000.00,TS: Trading Standards Institue-Current Grants To Private Sector - NPISH,SS15 6TH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),49186,3872.50,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Current Grants To Private Sector - NPISH,Economics & Markets - Consumer and Competition Policy,CITIZENS ADVICE BUREAU,49187,527583.00,Consumer Futures DEL-Current Grants To Private Sector - NPISH,N1 9LZ,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Current Grants To Private Sector - NPISH,Economics & Markets - Consumer and Competition Policy,CITIZENS ADVICE BUREAU,49187,767417.00,CiTA: England & Wales-Current Grants To Private Sector - NPISH,N1 9LZ,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Current Grants To Private Sector - NPISH,Economics & Markets - Consumer and Competition Policy,CITIZENS ADVICE BUREAU,49187,1858333.00,CiTA: Bureaux - England & Wales-Current Grants To Private Sector - NPISH,N1 9LZ,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Mail and Messenger Contract Costs,Finance & Commercial Group - Information and Technology Directorate,MANPOWER UK LTD,49188,4733.92,F&C Devolved Admin-Mail and Messenger Contract Costs,UB8 1AB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,THE DANWOOD GROUP LTD T/A DANWOOD GROUP,49189,5.50,F&C Devolved Admin-Leasing of Reprographic Equipment,LN6 3DG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Electricity,Finance & Commercial Group - Estates,BRITISH GAS BUSINESS SERVICES LTD,49190,156.58,E&M Devolved Admin-Electricity,GU95 1AW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Electricity,Finance & Commercial Group - Estates,BRITISH GAS BUSINESS SERVICES LTD,49190,939.48,F&C Devolved Admin-Electricity,GU95 1AW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Water,Finance & Commercial Group - Estates,THAMES WATER UTILITIES LTD,49191,2205.21,F&C Devolved Admin-Water,SN38 3TL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Utilisation of Provisions - Subsidies to Private Sector - Companies,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,CLUB 24 LTD t/a VENTURA,49192,100.07,Student Support: Debt Sale Utilisation-Utilisation of Provisions - Subsidies to Private Sector - Companies,LS2 8AE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,External Legal Advice and Service,People & Strategy - Human Resources,THE TREASURY SOLICITORS DEPARTMENT,49193,1197.36,P&S Non Devolved Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Utilisation of Provisions - Subsidies to Private Sector - Companies,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,HONOURS TRUSTEES LTD,49194,452988.24,Student Support: Debt Sale Utilisation-Utilisation of Provisions - Subsidies to Private Sector - Companies,LS2 8AE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Water,Finance & Commercial Group - Estates,THAMES WATER UTILITIES LTD,49196,681.15,F&C Devolved Admin-Water,SN38 3TL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Business Rates,Finance & Commercial Group - Estates,DWP (DEPARTMENT FOR WORK AND PENSIONS),49197,2704.82,F&C Devolved Admin-Business Rates,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,DWP (DEPARTMENT FOR WORK AND PENSIONS),49198,8432.26,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Service Charges,Finance & Commercial Group - Estates,DWP (DEPARTMENT FOR WORK AND PENSIONS),49199,138.29,F&C Devolved Admin-Service Charges,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Service Charges,Finance & Commercial Group - Estates,DWP (DEPARTMENT FOR WORK AND PENSIONS),49201,50.93,F&C Devolved Admin-Service Charges,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49202,3851.92,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49203,78.71,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49204,3681.56,Abbey Orchard Street-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2014,Catering Services,Finance & Commercial Group - Finance Group,BELLROCK PROPERTY & FACILITIES MANAGEMENT LTD,49205,-1220.16,F&C Devolved Admin-Catering Services,LE3 1UR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2014,Catering Services,Finance & Commercial Group - Finance Group,BELLROCK PROPERTY & FACILITIES MANAGEMENT LTD,49205,2440.32,F&C Devolved Admin-Catering Services,LE3 1UR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Vocational Education Directorate,DISABILITY RIGHTS UK,49206,40000.00,Disability Rights UK-Current Grants To Private Sector - NPISH,N1 6AH,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Water,Finance & Commercial Group - Estates,THAMES WATER UTILITIES LTD,49207,2086.11,F&C Devolved Admin-Water,SN38 3TL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,TREANORS SOLICITORS LTD,49208,909.20,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,SR1 1JG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,WALKER PRESTONS SOLICITORS LTD,49209,625.03,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,BB1 5BN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Maintenance,Finance & Commercial Group - Estates,WATERCOOLERS SOUTHERN LTD T/A JUST GULP,49210,2.32,F&C Devolved Admin-Maintenance,TN12 9QJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Maintenance,Finance & Commercial Group - Estates,WATERCOOLERS SOUTHERN LTD T/A JUST GULP,49210,31.22,F&C Devolved Admin-Maintenance,TN12 9QJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49212,617.15,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49214,1555.56,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49215,1211.36,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49216,278.75,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,49217,517.79,F&C Devolved Admin-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,BENCHMARK EXECUTIVE CARS LTD,49218,120.00,MPST Devolved Admin-Leasing of Motor Vehicles,NE6 1LL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Consultancy Expenditure,Knowledge & Innovation Group - International Knowledge and Innovation,NFER TRADING LTD,49221,80740.00,International: ERASMUS-Consultancy Expenditure,SL1 2DQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,External Legal Advice and Service,People & Strategy - Human Resources,THE TREASURY SOLICITORS DEPARTMENT,49222,849.60,P&S Non Devolved Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49223,5494.02,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49224,5749.98,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Utilisation of Provisions - Subsidies to Private Sector - Companies,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,FINANCE FOR HIGHER EDUCATION,49225,357985.09,Student Support: Debt Sale Utilisation-Utilisation of Provisions - Subsidies to Private Sector - Companies,EC2R 8PB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Hire of Agency Staff,Shareholder Executive - Business Portfolio,BROOK STREET (UK) LTD,49226,668.66,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49227,249.99,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49228,249.99,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",31/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,BROOK STREET (UK) LTD,49229,531.55,F&C Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49231,150.00,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49233,150.00,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49235,150.00,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49237,150.00,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49238,150.00,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
